epoch,train_loss,train_accuracy,"train_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","train_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","train_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","train_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","train_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))",val_loss,val_accuracy,"val_AlternatePrecedenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))","val_ExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=ExistenceConstraintSettings(activity=4))","val_AlternateSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=6))","val_NotCoExistenceConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=6, b=5))","val_NotChainSuccessionConstraint(solver=WeightedSamplingSolver(num_samples=100), settings=RelationConstraintSettings(a=4, b=5))"
75,0.7010897055630468,0.40839946269989014,inf,0.019397349490059747,inf,inf,inf,0.7187703377256791,0.42592594027519226,inf,0.06306967735290528,inf,inf,inf
76,0.6946364704002109,0.4138889014720917,inf,0.029879948827955458,inf,inf,inf,0.716993028173844,0.4253968298435211,inf,0.003012879689534505,inf,inf,inf
77,0.6992434321850952,0.40932539105415344,inf,0.032731379403008354,inf,inf,inf,0.7163982284151845,0.4296296238899231,inf,0.10570163196987575,inf,inf,inf
78,0.6983721375672354,0.402050256729126,inf,0.02118422720167372,inf,inf,inf,0.7155000578198168,0.42328041791915894,inf,0.017216285069783527,inf,inf,inf
79,0.696942729704703,0.40648147463798523,inf,0.030054536130693223,inf,inf,inf,0.7157791461795568,0.42804232239723206,inf,0.07067520353529189,inf,inf,inf
80,0.6966023174580187,0.40601852536201477,inf,0.021500529183281793,inf,inf,inf,0.7154203543646468,0.42222222685813904,inf,0.0673779116736518,inf,inf,inf
81,0.6963470414487852,0.41329365968704224,inf,0.0301433437400394,inf,inf,inf,0.7156986186901728,0.43703705072402954,inf,0.008377117580837673,inf,inf,inf
82,0.6971732978812523,0.40846559405326843,inf,0.025244787004258896,inf,inf,inf,0.7147467494010925,0.42804232239723206,inf,0.029224332173665366,inf,inf,inf
83,0.6924806486556514,0.41223543882369995,inf,0.03328911993238661,inf,inf,inf,0.7150699043853416,0.4174603223800659,inf,0.09446182250976562,inf,inf,inf
84,0.6990323110535327,0.40714284777641296,inf,0.03438701298501756,inf,inf,inf,0.7172311439696285,0.4328042268753052,inf,0.018122662438286676,inf,inf,inf
85,0.6942847819015797,0.4097222089767456,inf,0.02604343030187819,inf,inf,inf,0.7142733009325133,0.4296296238899231,inf,0.040963469611273874,inf,inf,inf
86,0.6929930157390319,0.40839946269989014,inf,0.03303711281882392,inf,inf,inf,0.7131015110347007,0.43015873432159424,inf,0.03372211456298828,inf,inf,inf
87,0.6956630674811701,0.41137567162513733,inf,0.03732596933841705,inf,inf,inf,0.7168432982845439,0.41904762387275696,inf,0.08913691838582356,inf,inf,inf
88,0.6949461688649737,0.40410053730010986,inf,0.021321881148550246,inf,inf,inf,0.712658983344833,0.4386243522167206,inf,0.07267301877339681,inf,inf,inf
89,0.6943335689656023,0.4117063581943512,inf,0.0346909052795834,inf,inf,inf,0.712990299363931,0.4275132417678833,inf,0.117319032880995,inf,inf,inf
